Trans. Date,Post Date,Description,Amount,Category
08/04/2024,08/04/2024,"BATH AND BODY WORKS#5541 VALLEJO CAAPPLE PAY ENDING IN 7043",13.00,"Merchandise"
08/04/2024,08/04/2024,"FOOD MAXX #489 VALLEJO CAAPPLE PAY ENDING IN 7043",5.00,"Supermarkets"
08/05/2024,08/05/2024,"7-ELEVEN 14263 SAN JOSE CAAPPLE PAY ENDING IN 7043",2.99,"Gasoline"
08/06/2024,08/06/2024,"LION MARKET STORY SAN JOSE CAAPPLE PAY ENDING IN 7043",8.40,"Supermarkets"
08/07/2024,08/07/2024,"99 RANCH #1761 SAN JOSE CAAPPLE PAY ENDING IN 7043",28.56,"Supermarkets"
08/07/2024,08/07/2024,"TRAM COFFEE (VIETNAM T 3127305592 IL",20.16,"Restaurants"
08/07/2024,08/07/2024,"TST* CAMPUS BURGERS SAN JOSE CAAPPLE PAY ENDING IN 7043",5.45,"Restaurants"
08/08/2024,08/08/2024,"TEMU.COM 302-480-6118 MAAPPLE PAY ENDING IN 6284",21.42,"Department Stores"
08/10/2024,08/10/2024,"WALMART STORE 05435 SAN JOSE CA",26.63,"Merchandise"
08/11/2024,08/12/2024,"GEICO *AUTO 800-841-3000 DC6056575217000615193683",119.33,"Services"
08/12/2024,08/12/2024,"DD *DOORDASH CONSABORA 6506819470 CAAPPLE PAY ENDING IN 7043",18.40,"Restaurants"
08/12/2024,08/12/2024,"H MART SAN JOSE LLC SAN JOSE CAAPPLE PAY ENDING IN 7043",6.99,"Supermarkets"
08/14/2024,08/14/2024,"AMAZON MKTPL*RM9NT3UH1 AMZN.COM/BILLWA3QLNFMUTQ0A",14.99,"Merchandise"
08/16/2024,08/16/2024,"WINGSTOP 324 OLO 510-367-3259 CAAPPLE PAY ENDING IN 7043",20.75,"Restaurants"
08/18/2024,08/18/2024,"JACK IN THE BOX 3453 VALLEJO CAAPPLE PAY ENDING IN 704301888R",13.11,"Restaurants"
08/19/2024,08/19/2024,"DUTCH BROS CA0105 VALLEJ VALLEJO CAAPPLE PAY ENDING IN 7043",8.10,"Restaurants"
08/19/2024,08/19/2024,"PG&E/EZ-PAY 800-743-5000 CA02416304081824",367.19,"Services"
08/20/2024,08/20/2024,"IC* INSTACART 8882467822 CAAPPLE PAY ENDING IN 7043",17.45,"Supermarkets"
08/21/2024,08/21/2024,"CHE BRICKS CAFE SAN JOSE CAAPPLE PAY ENDING IN 7043",4.09,"Restaurants"
08/22/2024,08/22/2024,"TST*CAMPUS BURGERS SAN JOSE CAAPPLE PAY ENDING IN 704300175063019647633474AA",3.26,"Restaurants"
08/23/2024,08/23/2024,"SAFEWAY #2776 SAN JOSE CAAPPLE PAY ENDING IN 7043",23.99,"Supermarkets"
08/25/2024,08/25/2024,"DD *DOORDASH CONSABORA 6506819470 CAAPPLE PAY ENDING IN 7043",20.86,"Restaurants"
08/28/2024,08/28/2024,"DOWNTOWN SAN JOSE GROC SAN JOSE CAAPPLE PAY ENDING IN 7043",12.60,"Supermarkets"
08/29/2024,08/29/2024,"DD *DOORDASHDASHPASS 6506819470 CAAPPLE PAY ENDING IN 7043",9.99,"Restaurants"
08/30/2024,08/30/2024,"IC* INSTACART*1102 8882467822 CAAPPLE PAY ENDING IN 7043",22.20,"Supermarkets"
08/31/2024,08/31/2024,"CURRY LIFE SAN JOSE CAAPPLE PAY ENDING IN 7043",20.23,"Restaurants"
09/04/2024,09/04/2024,"INTERNET PAYMENT - THANK YOU",-894.61,"Payments and Credits"
